"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"BM29B-2DP_2-0.35V_51_","desc","J1,","BM29B-2DP_2-0.35V_51__HRS_BM29B-2DP_2-0.35V_51_","libref","6","1","","",
"LXZ1-PB01","desc","U1,U2,U3,U4,","LXZ1-PB01","libref","2","4","","",
"Pad1","desc","U5,U6,","Rec_Pad_1","libref","1","2","","",
