"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"U1","SD_NAND_32","3.27mm","4.38mm","3.27mm","4.38mm","1.36mm","0.9mm","T","90","CSNP32GCR01-AOW",
"C1","C_0402_Metric","5.27mm","3.25mm","5.27mm","3.25mm","5.27mm","2.77mm","B","90","1u",
"J1","CONN20_DF40HC_HIR","2.61mm","4.32mm","2.61mm","4.32mm","4.149999mm","2.519775mm","B","90","DF40HC3.5-20DS-0.4V51",
"R1","R_0201_Metric","5.49mm","1.96mm","5.49mm","1.96mm","5.81mm","1.96mm","B","180","10k",
"R2","R_0201_Metric","5.48mm","5.86mm","5.48mm","5.86mm","5.8mm","5.86mm","B","180","0",
"R3","R_0201_Metric","5.5mm","6.47mm","5.5mm","6.47mm","5.82mm","6.47mm","B","180","10k",
"R4","R_0201_Metric","5.52mm","7.08mm","5.52mm","7.08mm","5.84mm","7.08mm","B","180","10k",
