"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"J1","BM29B-2DP_2-0.35V_51__HRS_BM29B-2DP_2-0.35V_51_","10.450801mm","6.419416mm","10.450801mm","6.419416mm","10.450801mm","6.959416mm","T","180","BM29B-2DP_2-0.35V_51_",
"U1","LXZ1-PB01","1.480801mm","1.259416mm","1.480801mm","1.259416mm","1.030801mm","1.299416mm","T","0","LXZ1-PB01",
"U2","LXZ1-PB01","17.480801mm","1.259416mm","17.480801mm","1.259416mm","17.030801mm","1.299416mm","T","0","LXZ1-PB01",
"U3","LXZ1-PB01","9.480801mm","1.259416mm","9.480801mm","1.259416mm","9.030801mm","1.299416mm","T","0","LXZ1-PB01",
"U4","LXZ1-PB01","25.480801mm","1.259416mm","25.480801mm","1.259416mm","25.030801mm","1.299416mm","T","0","LXZ1-PB01",
"U5","Rec_Pad_1","16.150801mm","4.939416mm","16.150801mm","4.939416mm","16.170801mm","4.889416mm","B","180","Pad1",
"U6","Rec_Pad_1","18.850801mm","4.939416mm","18.850801mm","4.939416mm","18.870801mm","4.889416mm","B","180","Pad1",
