"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"J1","HRS_DF40C-20DP-0.4V_51_","2.755mm","4.43mm","2.755mm","4.43mm","1.4mm","2.63mm","T","90","DF40C-20DP-0.4V_51_",
"J2","JST_SM06B-SURS-TF(LF)(SN)","6.0325mm","4.39mm","6.0325mm","4.39mm","6.0325mm","2.39mm","T","90","SM06B-SURS-TF(LF)(SN)",
"C1","C_0402_Metric","5.625mm","1.54mm","5.625mm","1.54mm","5.625mm","2.02mm","B","-90","1u",
"J3","CONN20_DF40HC_HIR","2.755mm","4.4mm","2.755mm","4.4mm","4.294999mm","2.599775mm","B","90","DF40HC3.5-20DS-0.4V51",
"U1","Rec_Pad_1","7.845mm","5.31mm","7.845mm","5.31mm","7.895mm","5.33mm","B","-90","Pad1",
"U2","Rec_Pad_1","7.835mm","7.09mm","7.835mm","7.09mm","7.885mm","7.11mm","B","-90","Pad1",
"U3","Rec_Pad_1","7.845mm","1.69mm","7.845mm","1.69mm","7.895mm","1.71mm","B","-90","Pad1",
"U4","Rec_Pad_1","7.865mm","3.55mm","7.865mm","3.55mm","7.915mm","3.57mm","B","-90","Pad1",
